Code	Lat	Long	Tax
APZ	-38.9167	-70.0833	
AQA	-21.8167	-48.1333	
AQB	15.01	-91.15	
AQG	30.58591	117.0562	
AQI	28.33424	46.12194	
AQJ	29.61014	35.01904	
AQM	-9.93333	-63.0667	
AQP	-16.3423	-71.569	
AQS	-17	170.9	
AQY	60.96597	-149.123	
ARA	30.03302	-91.8819	
ARB	42.3	-83.75	
ARC	68.11566	-145.576	
ARD	-8.68333	124.5333	
ARE	18.45062	-66.6743	
ARF	0.533333	-70.1333	
ARG	36.06667	-90.95	
ARH	64.59921	40.7186	
ARI	-18.3528	-70.3412	
ARJ	-2.93333	140.7833	
ARK	-3.36667	36.68333	
ARL	11.597	1.483	
ARM	-30.5286	151.6156	
ARN	59.64679	17.93704	
ARO	8.85	-76.4333	
ARP	-9.8	149.5	
ARQ	7.033056	-71.4317	
ARR	-45.0333	-70.8333	
ARS	-15.8994	-52.2411	
ART	43.99083	-76.0214	
ARU	-21.1408	-50.4251	
ARV	45.92417	-89.7322	
ARW	46.18333	21.26667	
ARX	40.21667	-74.1	
ARY	-37.3121	142.9943	
ARZ	-7.5	13.5	
ASA	13.07596	42.64175	
ASB	37.98375	58.36267	
ASC	-15.9167	-63.15	
ASD	24.70833	-77.7724	
ASE	39.21969	-106.865	
ASF	46.28017	48.01891	
ASG	-43.9	171.7833	
ASH	42.78259	-71.5176	
ASI	-7.96667	-14.4	
ASJ	28.43121	129.7123	
ASK	6.816667	-5.28333	
ASL	32.55	-94.3833	
ASM	15.29325	38.91611	
ASN	33.43333	-86.1	
ASO	10.04722	34.53667	
ASP	-23.8063	133.8977	
ASQ	39.46647	-117.197	
ASR	38.77348	35.49468	
ASS	-24.741	31.51852	
AST	46.15642	-123.883	
ASU	-25.2356	-57.5156	
ASV	-2.64533	37.24858	
ASW	23.96343	32.82937	
ASX	46.55	-90.9167	
ASY	46.03333	-99.3667	
ASZ	-5.86667	150.3667	
ATA	-9.34818	-77.5983	
ATB	17.70688	34.05635	
ATC	24.63022	-75.6759	
ATD	-8.87289	161.0113	
ATE	34.23333	-95.6167	
ATF	-1.08333	-78.7	
ATG	33.9	72.25	
ATH	37.93725	23.95462	
ATI	-30.4	-56.5083	
ATJ	-19.85	47.01667	
ATK	70.5	-157.333	
ATL	33.6378	-84.4293	
ATM	-3.2	-52.2167	
ATN	-3.66959	152.4381	
ATO	39.33333	-82.1	
ATP	-3.16667	142.2833	
ATQ	31.70859	74.80045	1
ATR	20.49944	-13.0464	
ATS	32.85252	-104.466	
ATT	60.8631	-162.273	
ATU	52.82583	173.1728	
ATV	13.23983	18.31542	
ATW	44.25659	-88.5217	
ATX	51.85171	68.36556	
ATY	44.91262	-97.1485	
ATZ	27.03333	31	
AUA	12.50222	-70.0139	
AUB	-11.8786	-55.5817	
AUC	7.068038	-70.7345	
AUD	-18.515	139.878	
AUE	28.9006	33.20053	
AUF	47.8499	3.498388	
AUG	44.31805	-69.7967	
